player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-11-20,16:45:02,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,0,Fastball,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,59.55107,1.436226225,2.60782044,1478.206123,118.0601642,10:00:00,5.41875,-2.02195,5.38292,-44.49143,6.64249,-12.57712,2.79539,-1.10241,55.63637,-8.7289265,-0.2837312891,0.5146665803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85704,4.93214,2.28205,50,5.23082,-4.49465,-88.00782,3.92875,8.49508,12.76518,-28.3149,NA,NA,NA,NA,NA,NA,793de559-1af8-49a5-a3ee-a3cac8934216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fe56d2e8-7d7b-49ab-accd-c6ebdbfb39d5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,73.23662,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-11-20,16:45:15,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,1,Fastball,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,59.789790000000004,0.411151584,3.153387995,1534.443478,133.5237738,10:30:00,5.36184,-2.0038,5.59183,-40.59757,10.10207,-10.70142,2.28769,-0.52707,55.37462,-8.943953763,0.6708955888,0.5124763746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.70348,8.07559,2.32558,50,5.26965,-5.30529,-88.4657,2.27268,7.57951,14.31002,-25.86611,NA,NA,NA,NA,NA,NA,46ce27ba-7b79-413d-b7a7-3c8db453aac5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bccf2481-edc8-4fa7-8d72-9b8421b30b80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,73.54961,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-11-20,16:45:28,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,2,Sweeper,NA,FoulBall,NA,NA,NA,NA,NA,NA,59.02581,2.311367891,2.729795205,1849.888237,291.1443717,03:45:00,5.0362,-2.24635,5.22456,-56.40179,-3.71737,9.54854,2.08813,0.61671,55.39181,-10.48048507,4.912715074,0.5224112273,66.26346,35.70908444,-46.04886956,NA,NA,NA,NA,NA,9.15857,NA,NA,-6.8144,-3.65847,2.48489,50,4.76268,-3.80608,-87.18715,5.59647,-5.20968,13.03589,-34.97099,NA,NA,NA,NA,NA,NA,ff145477-df03-44c3-bbdb-ffcdb4bf78af,NA,NA,NA,NA,NA,NA,NA,1.395,2.18982,-0.81279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9c38e197-22ec-48a0-a5a6-abb964e5551b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,72.1509,LiveBpPitching,23360159,FlyBall,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-11-20,16:45:48,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,2,Sinker,NA,BallCalled,NA,NA,NA,NA,NA,NA,61.19881,1.463726461,2.977765747,1541.940181,83.13162676,08:45:00,4.50413,-2.24239,5.67683,-50.06022,-1.63346,-13.09474,1.4303,-1.10167,56.59969,-10.1065971,-0.0744808293,0.5008574335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6892,-1.82726,2.55495,50,4.29287,-5.26098,-90.59928,4.41361,9.51869,15.7392,-33.66201,NA,NA,NA,NA,NA,NA,58584b32-b1a5-4a28-af21-df222b8e124f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3c38c7df-1ea3-449e-8c8f-f5870f899f14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,75.25582,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-11-20,16:46:01,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,1,2,Fastball,NA,StrikeCalled,NA,NA,NA,NA,NA,NA,61.03363,1.477928753,3.948116188,1535.099935,144.0398391,10:45:00,5.26544,-2.01903,5.71761,-38.65635,9.21784,-6.73877,3.15267,0.37787,57.0358,-7.413748969,2.393874754,0.4979917165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57481,7.11884,2.42284,50,5.06478,-6.50661,-90.09215,3.98621,5.41483,12.83763,-26.31117,NA,NA,NA,NA,NA,NA,475128d8-ac97-4e95-84ea-32e0584a7c5e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bb8aee02-e3f1-4823-a75c-5fcc541a76b1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,75.68889,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-11-20,16:46:29,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,0,Sweeper,NA,FoulBall,NA,NA,NA,NA,NA,NA,56.51767,3.703919475,1.880937375,1773.281248,275.9319462,03:15:00,4.78704,-2.41171,4.83028,-59.91765,-1.24951,11.77727,2.62782,0.0066,52.79333,-9.806781961,4.554250963,0.5512804233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.6819,-2.09393,2.55941,50,4.41857,-2.36223,-83.37305,7.31186,-6.06456,12.00291,-33.63672,NA,NA,NA,NA,NA,NA,e0a0187d-fc61-4e59-bcaf-8c35521ff1d0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c4d3e389-e9ad-46a1-973c-718ee3a2a063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,68.37253,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-11-20,16:46:48,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,1,Sweeper,NA,InPlay,NA,NA,NA,NA,NA,NA,55.53313,2.757365431,2.758208742,1705.393909,279.0107543,03:15:00,4.6348,-2.68335,4.91031,-62.07637,-1.44809,8.94365,1.56761,0.16599,52.03854,-11.23047338,4.791995393,0.5604140571,57.91952,5.263293319,4.705427599,NA,NA,NA,NA,67.8559,20.99062,3.46352485,0.851894622,-6.19778,-1.99209,2.91132,50,4.33842,-3.66376,-81.97488,5.93458,-4.17365,11.88403,-33.51554,NA,NA,NA,NA,NA,NA,a3e50f18-bb1f-4832-9601-1b7672047339,NA,NA,NA,NA,NA,NA,NA,1.51691,1.11651,-0.38244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8d6b22d5-4238-4ace-8c16-a8e8d6a93b4f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,67.2582,LiveBpPitching,23360159,GroundBall,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-11-20,16:47:12,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,0,Fastball,NA,BallCalled,NA,NA,NA,NA,NA,NA,56.45887,4.638236429,2.800411427,1308.505003,129.3766081,10:15:00,4.94389,-2.24949,NA,-54.21619,7.21502,-8.87779,4.04813,-0.80796,52.03403,-7.432298911,0.8164919635,0.5641127804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56869,4.05296,2.45002,50,4.58686,-4.28492,-83.01506,8.11228,5.23661,11.99913,-29.3699,NA,NA,NA,NA,NA,NA,250cc87a-9faf-47c7-99e8-5d50f87d2a9b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8053443a-00fc-49d7-b57c-d1c8b7e12801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,NA,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-11-20,16:47:24,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,1,0,Fastball,NA,StrikeSwinging,NA,NA,NA,NA,NA,NA,61.66858,1.467225521,3.69955834,1577.295644,116.931072,10:00:00,4.55295,-2.40016,5.62658,-41.56092,5.87927,-11.70966,2.19211,-0.5984,57.22516,-8.110174123,0.9895266188,0.4957293028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.64221,4.33773,2.77926,50,4.35427,-6.3848,-91.12409,4.0879,8.87421,14.42466,-28.55695,NA,NA,NA,NA,NA,NA,8eef2e01-6fd6-408c-bdda-58ace0a13037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a16e56a0-c60f-4abd-8783-48d34f25dd5e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,76.03432,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-11-20,16:47:37,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,1,1,Sinker,NA,InPlay,NA,NA,NA,NA,NA,NA,59.49442,3.963057003,4.602554179,1405.366792,94.01446771,09:15:00,4.21527,-2.55234,NA,-53.53393,0.50874,-8.57793,2.82524,0.29001,55.31859,-7.995261983,2.681531122,0.5291025003,88.29237,17.34521769,-9.131586365,NA,NA,NA,NA,199.74072,33.97739,-13.2829465,1.930286339,7.8843,-0.71441,2.91277,50,3.86909,-7.29301,-87.39033,7.68296,6.0976,12.30726,-32.72656,NA,NA,NA,NA,NA,NA,6efd3600-bbcb-468b-a18b-27717540de31,NA,NA,NA,NA,NA,NA,NA,2.10054,2.983,-0.30063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80c30f40-d1ee-4ff7-852f-b818d8e900b0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,NA,LiveBpPitching,23360159,LineDrive,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2025-11-20,16:47:55,NA,NA,"Game, Gaynor",1000495029,Left,NA,"Halverson, Ayden",1000383106,Right,NA,NA,NA,NA,NA,0,0,Sweeper,NA,InPlay,NA,NA,NA,NA,NA,NA,57.48808,4.041702099,2.428586962,1699.472744,294.760959,03:45:00,4.64968,-2.40897,NA,-64.30751,-4.6691,10.06443,2.43777,0.31704,52.90984,-10.31997939,4.692003334,0.5558203298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.80776,-4.98093,2.57583,50,4.32019,-3.33043,-84.72203,7.67103,-4.82369,14.28651,-35.70333,NA,NA,NA,NA,NA,NA,a5b09b5e-ab0c-4970-92de-5ac72314ae28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4af6ae07-7885-463a-ba27-cef971dc7891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,NA,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2025-11-20,16:52:03,NA,NA,"Game, Halverson",1000495030,Left,NA,"Gaynor, Jared",1000283624,Left,NA,NA,NA,NA,NA,0,0,Fastball,NA,StrikeCalled,NA,NA,NA,NA,NA,NA,63.00915,-0.00923525053,4.505025708,1468.631635,148.4859995,11:00:00,4.5141,-2.0538,5.62088,-34.8695,10.65734,-6.57796,1.60136,0.78305,58.47528,-8.030245295,2.98643452,0.4856296291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71528,8.6686,2.50524,50,4.46959,-7.61307,-93.04291,1.48101,5.83637,15.07414,-24.64001,NA,NA,NA,NA,NA,NA,df51432b-a589-486d-8982-f7bd47465bab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0e765545-b01d-4a23-8fd1-512d3800689c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live,NA,78a893a9-0037-49bd-824a-d540c411be2b,77.61561,LiveBpPitching,23360159,NA,112cb27e-b7e0-4034-b6d1-c6471138255b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
