player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-07,11:00:48,1,1,"Polishuk, Will",1000375103,Right,POM_COL,"Hamura, Javin",1000397352,Left,PAC_BOX,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.27288,-2.160084,-1.536446,2302.510387,214.819745,01:15:00,6.26664,1.33286,5.54295,-15.29646,18.7954,12.29182,2.97151,0.92092,83.19041,-5.065941,0.654996,0.420239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.59615,10.4165,-1.20785,50,6.06939,2.98283,-132.3614,-5.45854,-11.67964,28.75071,-13.72978,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,510405c0-0457-11f1-87a1-bbe4b648e251,89.69278,NA,NA,8.08246,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:00:48,2026-02-07T19:00:48Z,2026-02-07T19:00:48Z,NA,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,85d065b9-b3f5-4e4d-95bd-3e95988ad779,54.95368,-133.43306,14.37535,6.26331,-4.94677,-6.86489,-1.32714,3.41819,-5.83982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-07,11:01:04,1,2,"Polishuk, Will",1000375103,Right,POM_COL,"Hamura, Javin",1000397352,Left,PAC_BOX,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.1774,-3.077071,-2.973779,2252.323674,217.682841,01:15:00,6.21358,1.30875,5.5262,-16.9884,17.30792,12.4843,1.91459,-0.43346,83.15036,-6.276444,-0.751354,0.421498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.12004,9.94339,-1.05847,50,5.93439,6.28704,-132.00602,-7.65068,-12.53889,28.6126,-14.66301,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,5a23fd90-0457-11f1-87a1-bbe4b648e251,89.42502,NA,NA,8.02704,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:01:04,2026-02-07T19:01:04Z,2026-02-07T19:01:04Z,NA,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,c955fbac-55f3-497b-aa62-55a03ceffe23,54.97116,-133.07917,14.3063,6.21103,-7.10072,-7.33151,-1.3031,6.75733,-6.26945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-07,11:01:26,1,3,"Polishuk, Will",1000375103,Right,POM_COL,"Hamura, Javin",1000397352,Left,PAC_BOX,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.85597,-1.512007,-0.693568,2291.798887,217.21092,01:15:00,6.32409,1.30693,5.43866,-16.15836,16.96532,12.04158,3.5613,1.66091,84.39764,-4.567711,1.44972,0.414229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.18221,9.26969,-1.25375,50,6.17936,1.0489,-134.66404,-4.07809,-11.30155,30.4657,-15.22832,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,67b188b0-0457-11f1-87a1-bbe4b648e251,90.99421,NA,NA,8.45834,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:01:26,2026-02-07T19:01:26Z,2026-02-07T19:01:26Z,NA,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,7804c6fc-3768-468c-bfb8-32e53e973fdf,55.05656,-135.80319,15.23285,6.3212,-3.50869,-7.61416,-1.30087,1.47148,-5.65077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-07,11:01:45,1,4,"Polishuk, Will",1000375103,Right,POM_COL,"Hamura, Javin",1000397352,Left,PAC_BOX,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.99897,-2.541193,-2.500934,2241.735563,214.322397,01:15:00,6.21887,1.22032,5.61972,-14.90942,18.58784,11.93509,2.60108,-0.12052,83.86828,-5.377406,-0.371765,0.416559,64.32502,20.395003,-51.076218,2998.816999,62.94092,13.47567,-90.21327,149.05118,131.2128,-56.98022,2.056535,-6.74055,10.46028,-1.01467,50,5.99239,5.28189,-133.33852,-6.37554,-12.11354,29.14734,-13.37572,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,730e7830-0457-11f1-87a1-bbe4b648e251,90.48531,16.90446,NA,8.1307,NA,NA,NA,-0.35899,2.33366,0.06571,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:01:45,2026-02-07T19:01:45Z,2026-02-07T19:01:45Z,LineDrive,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,3a59afe0-52f9-418f-8c59-6c5f507f62e4,54.87802,-134.4006,14.57367,6.21583,-5.88815,-6.68786,-1.21517,5.72329,-6.05677,NA,-0.35903,55.56367,-7.87411,0.24505,-0.69029,0.72884,-0.35565,0.08961,-0.00935,2.33367,32.87754,-20.52602,2.43921,-0.42209,0.25034,-0.14588,0.04217,-0.00482,0.06573,-68.79882,3.53905,0.22569,0.23186,-0.33285,0.17113,-0.04384,0.0046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-07,11:02:06,1,5,"Polishuk, Will",1000375103,Right,POM_COL,"Hamura, Javin",1000397352,Left,PAC_BOX,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,91.80366,-2.771212,-0.993071,2298.64448,210.531788,01:00:00,6.39185,1.2253,5.47445,-13.86977,20.17151,11.1893,2.64042,1.22837,83.13217,-5.42926,0.999665,0.419928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.86,11.29638,-1.14553,50,6.139,1.77074,-132.9599,-6.83162,-10.39908,30.81765,-12.12771,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,7f2b8360-0457-11f1-87a1-bbe4b648e251,89.75938,NA,NA,8.6715,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:02:06,2026-02-07T19:02:06Z,2026-02-07T19:02:06Z,NA,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,f95913a5-158d-4b8d-8288-8a0047d10c88,55.01994,-134.11838,15.40883,6.38724,-6.37572,-6.06386,-1.21945,2.16165,-5.19954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.96988,2.54096,1.437542,1.103418,-2.77508,2.23244,-1.30721,-2.95754,5.56695,-3.88163,70.15015,5.48884,-54.63973,-2.92414,69.92379,-3.34434,5.62395,15.71774,-14.3407,-3.9629,-51.97639,5.46418,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-07,11:02:36,2,1,"Polishuk, Will",1000375103,Right,POM_COL,"Nishina, Hunter",1000162944,Left,PAC_BOX,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.87422,-3.482371,-2.825311,2222.729124,212.283387,01:00:00,6.24104,1.34832,5.54444,-13.20808,20.78576,12.36591,1.87796,-0.26371,83.18696,-6.024841,-0.623481,0.419635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.05949,11.878,-1.11168,50,5.93026,5.98294,-132.88133,-8.46222,-12.5131,30.77607,-11.12009,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,913dfa60-0457-11f1-87a1-bbe4b648e251,89.82201,NA,NA,8.68726,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:02:36,2026-02-07T19:02:36Z,2026-02-07T19:02:36Z,NA,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,578e1259-bc3a-460c-8f09-c1c8d2466674,54.95167,-134.02326,15.38803,6.23659,-8.0496200000000009,-5.56004,-1.34229,6.44723,-6.25655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-07,11:02:53,2,2,"Polishuk, Will",1000375103,Right,POM_COL,"Nishina, Hunter",1000162944,Left,PAC_BOX,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.71993,-3.062203,-2.728799,2221.648821,211.878658,01:00:00,6.25586,1.41031,5.58176,-14.16957,19.73859,11.55138,2.20932,-0.17741,83.34016,-5.77122,-0.670292,0.419106,71.78821,-25.89858,-139.552855,NA,NA,NA,NA,3.30225,3.30225,-120.807363,0.048815,-6.67437,11.2506,-1.18345,50,5.98326,5.81254,-132.81055,-7.53349,-11.85157,29.99164,-12.19651,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,9b60e340-0457-11f1-87a1-bbe4b648e251,89.93542,2.25181,NA,8.37977,NA,NA,NA,1.83807,2.25181,0.17242,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:02:53,2026-02-07T19:02:53Z,2026-02-07T19:02:53Z,GroundBall,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,c1b5d465-2cae-4e73-89c7-dc00908bf032,54.91662,-133.91623,14.99582,6.2527,-7.08385,-6.09826,-1.40579,6.24946,-5.92578,NA,1.83981,-72.30056,NA,NA,NA,NA,NA,NA,NA,2.25293,-46.12987,NA,NA,NA,NA,NA,NA,NA,0.17391,-61.63525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-07,11:03:14,2,3,"Polishuk, Will",1000375103,Right,POM_COL,"Nishina, Hunter",1000162944,Left,PAC_BOX,Undefined,1,Top,1,0,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,84.05199,-0.589478,-2.829754,1349.699599,283.965525,03:30:00,6.06865,1.40568,5.41437,-43.10428,-2.50232,15.55422,1.9237,0.04875,76.69245,-8.444124,-0.060117,0.458612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.64115,-0.63945,-1.16503,50,5.98631,5.35703,-121.84557,-2.83986,-12.88719,25.72075,-33.12774,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,a7df2140-0457-11f1-87a1-bbe4b648e251,82.18816,NA,NA,7.35954,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:03:14,2026-02-07T19:03:14Z,2026-02-07T19:03:14Z,NA,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,abaf4506-b607-4410-80ee-68801a63ae16,55.08477,-122.91425,12.86037,6.0757,-1.46344,-16.56387,-1.39873,5.89249,-6.4436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.43577,2.62062,1.447475,1.173145,-0.37321,1.65345,-0.04833,-2.00401,5.70513,-1.30836,70.2245,11.70298,-54.57749,-1.91522,66.35417,-4.12042,5.77157,21.46024,-13.96251,-1.40088,-50.03934,3.99123,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-07,11:03:42,3,1,"Polishuk, Will",1000375103,Right,POM_COL,"Kazahaya, Trevor",1000154011,Left,PAC_BOX,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.19932,-0.762788,-2.133093,2280.523647,216.006063,01:15:00,6.27089,1.27868,5.44757,-16.74611,17.82462,12.06115,4.16069,0.28578,82.2575,-3.950875,0.012155,0.423181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.64823,9.5193,-1.09844,50,6.19228,4.3462,-132.11651,-2.28236,-11.62084,31.0482,-15.53467,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,b8770630-0457-11f1-87a1-bbe4b648e251,89.06941,NA,NA,8.94182,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:03:42,2026-02-07T19:03:42Z,2026-02-07T19:03:42Z,NA,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,8211b7f5-2330-4057-b84f-c5648db7b08c,55.04657,-133.29721,15.5241,6.26784,-1.69161,-7.76734,-1.27212,4.78812,-5.81042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-07,11:03:58,3,2,"Polishuk, Will",1000375103,Right,POM_COL,"Kazahaya, Trevor",1000154011,Left,PAC_BOX,Undefined,1,Top,2,1,0,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,90.78965,-2.149734,-1.375995,2236.983242,217.155892,01:15:00,6.16277,1.30472,5.753,-17.30954,16.99273,11.99528,2.7176,1.02316,82.51843,-5.431974,0.771576,0.421534,74.805,55.333161,-37.506243,NA,75.68599,102.42374,-79.82238,220.29141,78.76613,-50.897351,5.079754,-6.54339,9.64969,-1.19807,50,5.97397,2.6419,-131.69481,-5.47987,-11.41261,29.76292,-15.34366,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,c24b32d0-0457-11f1-87a1-bbe4b648e251,89.41724,103.22101,NA,8.27123,NA,NA,NA,1.82454,2.75628,-1.01773,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:03:58,2026-02-07T19:03:58Z,2026-02-07T19:03:58Z,Popup,v3,POM_PIT,NA,NA,"Parker, Will",1000474009,Right,POM_COL,a0b67193-6e9a-4794-ac68-715143a9bdfd,54.74528,-132.76291,14.88146,6.16074,-4.92924,-7.67183,-1.30023,3.05146,-5.7063,NA,1.85718,48.81399,-8.56053,-1.97542,3.47554,-1.70569,0.41826,-0.05107,0.00247,2.75014,90.31719,-24.41713,2.47294,-0.14546,-0.20271,0.08836,-0.01467,8.8e-4,-1.00257,-38.29175,1.59099,-1.43515,1.24255,-0.53453,0.12001,-0.0134,5.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-02-07,11:06:25,1,1,"Saelens, Nicholas",10137626,Right,PAC_BOX,"Wakil, Lateef",1000128267,Left,POM_COL,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.74399,-2.042672,-1.723127,2058.821957,224.193415,01:30:00,5.86936,0.3706,5.55033,-20.27946,13.7806,12.21497,2.26898,-0.22213,82.93334,-5.84945,0.455687,0.420043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.66237,7.94823,-0.22957,50,5.67942,3.42884,-132.90561,-5.43208,-11.77371,31.67444,-18.12801,POM_COL,PAC_BOX,PomonaPitzer,D3,Team,20260207-PomonaPitzer-1,19bbd790-0458-11f1-87a1-bbe4b648e251,89.73468,NA,NA,8.81065,NA,NA,NA,NA,NA,NA,3f98b378-657c-48b4-83e9-3c54654d78d3,2026-02-07,19:06:25,2026-02-07T19:06:25Z,2026-02-07T19:06:25Z,NA,v3,POM_PIT,NA,NA,"Coughlan, Rory",1000397380,Right,PAC_BOX,921c2d4c-e656-4670-9292-375a33b14487,54.94511,-134.07897,15.83722,5.86821,-4.76054,-9.06401,-0.36467,3.86498,-5.88686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
