PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-01-30,14:47:55,1,1,"Casson, Kolton",1000370207,Right,CAR_EAG,"Lemond, Samuel",1000471123,Right,CHA_GOL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.79233,-0.792901,-4.936861,2129.677508,255.454957,02:30:00,5.18871,2.2832,6.99144,-28.58958,5.50264,17.0817,2.08251,-0.79369,81.32628,-6.19391,-1.819696,0.420242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.4152,3.50729,-1.98368,50,5.13054,10.50248,-128.80617,-2.59238,-17.51478,26.50903,-26.27599,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,92ad5740-fe14-11f0-b136-fbca9a971a9d,89.69232,NA,NA,7.46605,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:47:55,2026-01-30T19:47:55Z,2026-01-30T19:47:55Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,3c3dbc3b-9423-43c7-a419-9827a513d25e,53.51039,-129.52661,13.25451,5.19129,-1.87827,-13.138,-2.27558,10.97848,-8.75739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2026-01-30,14:48:07,1,2,"Casson, Kolton",1000370207,Right,CAR_EAG,"Lemond, Samuel",1000471123,Right,CHA_GOL,Undefined,1,Top,0,0,1,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,88.71376,0.563448,-2.32002,2123.78841,244.471331,02:15:00,5.27724,2.46383,6.69121,-25.03305,9.67863,17.80481,3.7069,1.82458,80.36995,-4.20176,0.922091,0.424042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.0676,5.28299,-2.31524,50,5.30491,4.53919,-128.88446,0.56029,-16.76676,29.26052,-23.37565,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,9a1761b0-fe14-11f0-b136-fbca9a971a9d,88.88838,NA,NA,8.34381,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:48:07,2026-01-30T19:48:07Z,2026-01-30T19:48:07Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,f6db5a64-c9aa-49fa-ac79-bce5722d6f4f,53.80926,-129.74639,14.63026,5.27826,1.24886,-11.68782,-2.45622,5.03309,-8.38338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2026-01-30,14:48:40,2,1,"Casson, Kolton",1000370207,Right,CAR_EAG,"Dosenbach, Trent",1000143853,Left,CHA_GOL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.62242,-1.138073,-4.192531,2118.964688,234.977705,01:45:00,5.25511,2.88339,6.6912,-21.38076,13.17079,16.90131,2.4296,0.45061,80.23828,-5.254482,-1.122656,0.423063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.2639,7.70308,-2.609,50,5.17052,8.84026,-129.77697,-3.15349,-17.12318,32.6739,-19.32311,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,add31be0-fe14-11f0-b136-fbca9a971a9d,89.0941,NA,NA,9.38415,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:48:40,2026-01-30T19:48:40Z,2026-01-30T19:48:40Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,61c98585-c1b5-4bc1-83c5-c2ec71026bff,53.80651,-130.73182,16.33695,5.25442,-2.5888,-9.66156,-2.87466,9.34066,-8.56159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2026-01-30,14:49:14,2,2,"Casson, Kolton",1000370207,Right,CAR_EAG,"Dosenbach, Trent",1000143853,Left,CHA_GOL,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.6381,0.547784,-2.265473,2012.200043,250.977022,02:15:00,5.2098,2.9384,6.49148,-28.20037,7.79752,18.93879,3.36308,2.43572,79.11066,-4.788091,1.170885,0.431827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.49634,4.30736,-2.78632,50,5.23623,4.26823,-127.21304,0.36934,-16.96484,29.43321,-25.21221,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,c1c57670-fe14-11f0-b136-fbca9a971a9d,87.28592,NA,NA,8.52744,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:49:14,2026-01-30T19:49:14Z,2026-01-30T19:49:14Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,48ce408b-646e-4a60-8599-5634c7f3da05,54.00704,-128.13679,14.7166,5.21222,1.16061,-12.60611,-2.92863,4.80067,-8.48242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2026-01-30,14:49:34,2,3,"Casson, Kolton",1000370207,Right,CAR_EAG,"Dosenbach, Trent",1000143853,Left,CHA_GOL,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.67596,-0.695284,-5.276178,2181.62172,229.436846,01:45:00,5.27056,2.47066,6.76106,-18.8221,15.7006,16.78166,3.06428,-0.96353,80.10565,-4.355578,-2.232975,0.422886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.54717,8.88162,-2.12936,50,5.21733,11.30082,-129.66328,-2.03492,-17.56743,32.58182,-17.3808,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,ce1b44e0-fe14-11f0-b136-fbca9a971a9d,89.13135,NA,NA,9.57031,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:49:34,2026-01-30T19:49:34Z,2026-01-30T19:49:34Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,8778d7fb-1064-46c7-8d4b-75ee968f6d2b,53.73564,-130.5986,16.29091,5.26859,-1.53598,-8.6904,-2.46101,11.80513,-8.78371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.01809,1.842171,0.889242,0.95293,6.76641,3.45133,0.74041,-2.87652,5.22236,2.45302,63.6308,8.85205,61.16506,-2.8389,75.85235,-6.45053,5.23964,16.83181,-13.70977,2.47925,66.07489,-4.74695,High,High,High,NA,NA,High,High,High
6,2026-01-30,14:49:57,2,4,"Casson, Kolton",1000370207,Right,CAR_EAG,"Dosenbach, Trent",1000143853,Left,CHA_GOL,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,1,0,NA,88.53016,0.627704,-3.502093,1993.736187,251.371271,02:30:00,5.13816,2.55098,6.39702,-27.5358,8.09603,20.11174,3.42192,1.00206,79.45334,-4.586224,0.13502,0.429626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.33989,4.44799,-2.30605,50,5.17126,6.97778,-128.25599,0.55478,-18.56617,30.75241,-24.89159,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,db658570-fe14-11f0-b136-fbca9a971a9d,87.73316,NA,NA,9.07682,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:49:57,2026-01-30T19:49:57Z,2026-01-30T19:49:57Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,583c721b-8f94-42cd-b2fd-24137b7e2314,54.0984,-129.23495,15.37621,5.14099,1.34717,-12.4458,-2.53759,7.5688,-9.28309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.12679,NA,NA,1.329346,NA,NA,NA,-4.84245,5.96425,-0.51487,127.28304,1.06838,-0.46748,-4.70635,110.94862,-8.86859,5.99116,12.36097,-12.10731,-0.5311,-1.04052,0.83016,High,High,High,NA,NA,High,High,High
7,2026-01-30,14:50:25,2,5,"Casson, Kolton",1000370207,Right,CAR_EAG,"Dosenbach, Trent",1000143853,Left,CHA_GOL,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.91064,1.815056,1.399765,2219.416227,92.789429,09:00:00,4.82601,2.85953,5.96949,-44.00341,2.50193,-17.75757,2.84298,2.67781,70.44823,-6.363203,-1.792235,0.490821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45146,1.25595,-2.96116,50,4.94607,-2.0831,-112.99967,2.22503,12.04713,23.31881,-30.57319,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,ec73d2e0-fe14-11f0-b136-fbca9a971a9d,76.79473,NA,NA,7.4624,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:50:25,2026-01-30T19:50:25Z,2026-01-30T19:50:25Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,ec735998-c2cd-4a64-93cd-69b1d8cc4f07,54.52957,-113.93056,11.6594,4.83288,3.44552,-15.28659,-2.8684,-2.56403,6.02356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2026-01-30,14:50:45,2,6,"Casson, Kolton",1000370207,Right,CAR_EAG,"Dosenbach, Trent",1000143853,Left,CHA_GOL,Undefined,1,Top,1,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,89.66373,-1.505005,-4.474632,2180.897343,230.693465,01:45:00,5.20817,2.30969,6.71214,-18.45068,16.03729,17.97438,2.29021,-0.2915,80.3058,-5.089436,-1.210616,0.422674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.86434,9.31485,-2.01799,50,5.10052,9.43215,-129.77689,-3.86894,-18.15228,32.30017,-16.61072,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,f8651320-fe14-11f0-b136-fbca9a971a9d,89.17623,NA,NA,9.35793,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:50:45,2026-01-30T19:50:45Z,2026-01-30T19:50:45Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,836aeda8-d43c-4c31-a4a4-6d109ec643f9,53.78501,-130.71554,16.15009,5.20593,-3.38623,-8.30536,-2.29975,9.95967,-9.07614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2026-01-30,14:51:09,3,1,"Casson, Kolton",1000370207,Right,CAR_EAG,"Kemp, Collin",1000160589,Right,CHA_GOL,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.53644,0.757679,-1.709274,2263.31362,100.435392,09:15:00,4.77014,2.6934,5.86438,-43.96963,4.57595,-15.43194,1.81025,-0.18098,69.29646,-7.38897,-4.475394,0.501471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.26575,2.64295,-2.54611,50,4.80658,3.88988,-110.96313,0.13394,8.89611,23.184,-28.93805,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,06a106b0-fe15-11f0-b136-fbca9a971a9d,75.16368,NA,NA,7.23998,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:51:09,2026-01-30T19:51:09Z,2026-01-30T19:51:09Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,dd7669a5-beaf-42e3-ac25-18c728e63012,54.63388,-111.92712,11.592,4.77599,1.33719,-14.46903,-2.70016,3.51998,4.44805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2026-01-30,14:51:24,3,2,"Casson, Kolton",1000370207,Right,CAR_EAG,"Kemp, Collin",1000160589,Right,CHA_GOL,Undefined,1,Top,2,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,77.091309999999993,2.191031,-2.129704,2187.268179,98.810907,09:15:00,4.79491,2.57312,5.88009,-44.27455,4.12284,-14.51099,3.14263,-0.61495,68.88156,-6.060161,-4.726975,0.500705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54437,1.93217,-2.39311,50,4.94748,4.70953,-111.52992,2.91673,8.01233,25.29021,-29.80846,CAR_EAG,CHA_GOL,CarsonNewman,D2,Team,20260130-CarsonNewman-2,0f5e1e00-fe15-11f0-b136-fbca9a971a9d,75.27867,NA,NA,8.20974,NA,NA,NA,NA,NA,NA,1f7fd53a-c4d0-47f4-8811-06a9fa10a37c,2026-01-30,19:51:24,2026-01-30T19:51:24Z,2026-01-30T19:51:24Z,NA,v3,CNE,NA,NA,"Hubbard, Ian",10071315,Left,CAR_EAG,b50dd753-a85c-437a-a62b-f35979267c1e,54.61535,-112.57162,12.64511,4.80206,4.14453,-14.90423,-2.5803,4.3795,4.00616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
