player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-07,15:57:04,1,1,"Williams, Brady",10130495,Right,AND_TRO,"Bright, Preston",1000113758,Right,DAV_ELK,Undefined,1,Top,0,0,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.11739,-2.036182,0.33578,2155.819122,183.496415,12:00:00,5.95981,1.20906,6.80458,-29.13832,10.90134,0.58819,1.67268,1.56449,75.39988,-7.535459,0.443334,0.455425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21594,6.75961,-1.23094,50,5.81732,-0.71978,-119.38947,-4.99966,-0.31105,23.43178,-22.43789,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,16953e00-046a-11f1-abc2-3b56c1aece58,82.76324,NA,NA,6.71751,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:57:04,2026-02-07T20:57:04Z,2026-02-07T20:57:04Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,ec6fd251-a06c-470e-b0f6-76af13f2234e,53.69334,-120.11215,11.71589,5.96085,-4.30763,-11.21894,-1.20889,-0.71018,-0.15552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-07,15:57:16,1,2,"Williams, Brady",10130495,Right,AND_TRO,"Bright, Preston",1000113758,Right,DAV_ELK,Undefined,1,Top,0,1,0,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.35057,-1.847916,-0.547959,2306.615407,169.25827,11:45:00,5.983,1.45559,6.62096,-21.151,19.21859,-3.38327,2.52751,0.67184,74.87663,-5.913271,-1.163759,0.457297,66.95024,44.914681,150.765938,3618.780695,-101.15354,52.07199,43.21945,183.67432,70.69197,158.155367,3.353177,1.61902,11.10319,-1.41714,50,5.84869,1.26268,-119.63112,-4.35922,2.32389,25.13662,-16.23701,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,1dba7740-046a-11f1-abc2-3b56c1aece58,82.42439,53.4048,NA,7.47394,NA,NA,NA,2.24179,2.67878,-0.68511,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:57:16,2026-02-07T20:57:16Z,2026-02-07T20:57:16Z,Popup,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,85e0786e-b38f-4b4f-8423-39bfe7a9cb2f,53.87664,-120.44292,12.56831,5.98101,-3.83484,-8.1185,-1.45671,1.18762,1.16195,319.352417,2.24241,-60.70265,1.94403,0.50764,0.06926,-0.21575,0.09788,-0.01788,0.00116,2.67864,69.33525,-27.76604,3.56994,-0.80016,0.21605,-0.06352,0.01191,-9.1e-4,-0.6855,33.97596,-9.51057,3.46885,-1.23694,0.50694,-0.17433,0.03443,-0.00273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-07,15:57:32,1,3,"Williams, Brady",10130495,Right,AND_TRO,"Bright, Preston",1000113758,Right,DAV_ELK,Undefined,1,Top,0,1,1,Fastball,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,81.3297,-0.335352,-0.522783,2162.172538,179.378056,12:00:00,5.87998,1.47342,6.56077,-26.76478,14.49111,-0.1428,3.34211,0.98222,74.23777,-5.418482,-0.548742,0.46229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07673,8.1126,-1.43737,50,5.84542,1.08386,-118.22964,-1.38437,-0.10819,23.40516,-20.73828,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,2741bc60-046a-11f1-abc2-3b56c1aece58,81.53421,NA,NA,7.09194,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:57:32,2026-02-07T20:57:32Z,2026-02-07T20:57:32Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,20b9aced-5356-48e3-8c9c-4367e2632ec2,53.93624,-119.00632,11.70258,5.87994,-0.69619,-10.36914,-1.47339,1.08744,-0.05409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-07,15:57:47,1,4,"Williams, Brady",10130495,Right,AND_TRO,"Bright, Preston",1000113758,Right,DAV_ELK,Undefined,1,Top,0,1,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.57723,0.777216,-0.722409,2309.948871,178.810246,12:00:00,6.00765,1.22838,6.44498,-24.12797,16.02532,-0.30634,4.71122,0.53905,75.29927,-3.819692,-0.77795,0.45607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04634,8.53642,-1.17704,50,6.05174,1.52457,-120.01745,0.99935,-0.06744,23.75078,-19.75308,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,308eb7a0-046a-11f1-abc2-3b56c1aece58,82.64609,NA,NA,7.27796,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:57:47,2026-02-07T20:57:47Z,2026-02-07T20:57:47Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,e53d6847-7706-415a-a044-f9fd8f674c39,54.05186,-120.81663,11.87539,6.00693,1.66401,-9.87654,-1.22838,1.52684,-0.03372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-07,15:58:01,1,5,"Williams, Brady",10130495,Right,AND_TRO,"DeJesus, Jesus",10179006,Right,DAV_ELK,Undefined,1,Top,0,2,2,Fastball,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,81.07359,-1.562984,-1.9461,2266.449446,176.892461,12:00:00,5.94387,1.21434,6.67989,-26.72828,14.51548,-0.71752,2.28562,-0.62629,74.42675,-6.622971,-2.076758,0.462222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.16492,8.50056,-1.08405,50,5.82854,4.02808,-117.82755,-3.89234,-0.23174,22.49416,-20.22982,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,38d08470-046a-11f1-abc2-3b56c1aece58,81.5462,NA,NA,6.64684,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:58:01,2026-02-07T20:58:01Z,2026-02-07T20:58:01Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,b6d8c306-ec94-4839-a29d-cef0a4af9d12,53.81834,-118.55426,11.24708,5.94374,-3.23878,-10.11491,-1.2143,4.03556,-0.11587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.46069,2.898222,1.539482,1.35874,1.01053,2.23827,0.64102,-3.13344,6.6443,3.03521,63.85274,6.14517,60.94246,-3.07693,54.00341,-3.51951,6.70232,19.70928,-14.84001,3.06389,45.37266,-2.05651,High,High,High,NA,NA,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-07,15:58:25,2,1,"Williams, Brady",10130495,Right,AND_TRO,"Ball, Kyle",1000470265,Right,DAV_ELK,Undefined,1,Top,1,0,0,Fastball,Slider,InPlay,Undefined,Popup,Out,1,0,NA,83.35237,-1.022231,-0.077264,2452.739078,171.729966,11:45:00,6.02949,1.11311,6.69268,-25.3371,13.7895,-1.81764,2.98313,0.89098,76.05248,-5.843713,-0.408661,0.450202,61.90749,79.564813,-33.111439,NA,NA,NA,NA,NA,12.63928,NA,NA,0.94047,7.97083,-1.1073,50,5.95126,0.22678,-121.19626,-2.81464,1.39039,25.02056,-20.39001,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,4714dc70-046a-11f1-abc2-3b56c1aece58,83.72339,77.28006,NA,7.29989,NA,NA,NA,0.99444,3.15749,-0.89195,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:58:25,2026-02-07T20:58:25Z,2026-02-07T20:58:25Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,7efb8852-eb7e-45d1-afc1-2e682f1e876d,53.80568,-121.9794,12.51028,6.02937,-2.17643,-10.19501,-1.11372,0.18327,0.69519,176.839671,0.99444,13.77493,-8.48975,3.10005,-0.77586,0.17266,-0.03675,0.00642,-6.6e-4,3.15749,89.29575,-24.53437,2.45568,-0.37194,0.03565,-0.00199,-3.7e-4,8e-5,-0.89195,-8.98369,2.96443,-0.98358,0.23202,-0.04977,0.01029,-0.00177,1.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-07,15:58:58,3,1,"Williams, Brady",10130495,Right,AND_TRO,"McBrayer, Tony",10951708,Right,DAV_ELK,Undefined,1,Top,2,0,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.68225,0.210532,-0.286009,2391.814691,177.623642,12:00:00,6.03492,1.21188,6.57797,-24.56371,14.18674,-0.53933,4.1809,0.90481,76.6411,-4.457334,-0.384081,0.448033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20413,7.76386,-1.19207,50,6.03884,0.62709,-121.7177,-0.20035,0.30656,23.66479,-20.51503,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,5aae4190-046a-11f1-abc2-3b56c1aece58,84.12875,NA,NA,7.04115,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:58:58,2026-02-07T20:58:58Z,2026-02-07T20:58:58Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,71b33866-a6ad-40be-8e6d-930ac2cd5660,53.91986,-122.47745,11.8324,6.0347,0.45827,-10.25752,-1.21204,0.61725,0.15328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-07,15:59:12,3,2,"Williams, Brady",10130495,Right,AND_TRO,"McBrayer, Tony",10951708,Right,DAV_ELK,Undefined,1,Top,2,1,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,80.95639,-0.654098,-1.040089,2218.294482,158.051981,11:15:00,5.86544,1.23055,6.58659,-26.23265,15.5728,-5.70567,3.07988,-0.19812,73.61692,-5.651672,-2.077583,0.465359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66961,8.80563,-1.15729,50,5.80959,2.33757,-117.61837,-2.00332,3.70575,24.19891,-19.95065,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,62f6c520-046a-11f1-abc2-3b56c1aece58,80.99651,NA,NA,7.33947,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:59:12,2026-02-07T20:59:12Z,2026-02-07T20:59:12Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,72f1c5d4-ef06-421d-87a6-972785af068e,53.90968,-118.42002,12.09946,5.86501,-1.3424,-9.97533,-1.2327,2.21481,1.85287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-07,15:59:24,3,3,"Williams, Brady",10130495,Right,AND_TRO,"McBrayer, Tony",10951708,Right,DAV_ELK,Undefined,1,Top,2,1,1,Fastball,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,81.92765,-0.793055,-0.807487,2385.315591,168.512635,11:30:00,5.94384,1.29388,6.54064,-25.92175,14.65709,-2.71858,3.05622,0.32669,75.04011,-5.705678,-1.301556,0.458481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1965,8.30871,-1.23694,50,5.87768,1.77571,-119.11427,-2.32626,1.71732,23.08695,-20.24851,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,6a2fd480-046a-11f1-abc2-3b56c1aece58,82.21157,NA,NA,6.88753,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:59:24,2026-02-07T20:59:24Z,2026-02-07T20:59:24Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,741b1476-eed7-4e0c-8d09-8d8ade584cf1,53.95683,-119.87873,11.54347,5.94361,-1.65578,-10.12426,-1.29479,1.71885,0.85866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-07,15:59:37,3,4,"Williams, Brady",10130495,Right,AND_TRO,"McBrayer, Tony",10951708,Right,DAV_ELK,Undefined,1,Top,2,1,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.78701,-0.150274,-0.922193,2349.259615,178.712196,12:00:00,6.02981,1.06203,6.43259,-25.19954,14.5619,-0.30024,3.79173,0.1894,75.9864,-4.917865,-0.976632,0.45384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.09201,8.02563,-0.99632,50,6.00757,1.94885,-120.39178,-0.99582,-0.13541,22.73418,-20.36058,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,720fd240-046a-11f1-abc2-3b56c1aece58,83.05233,NA,NA,6.80062,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:59:37,2026-02-07T20:59:37Z,2026-02-07T20:59:37Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,03b1f39d-15e7-4c72-9706-3283d630dfdc,54.06532,-121.15702,11.36709,6.02956,-0.31047,-10.18029,-1.062,1.95341,-0.06771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-02-07,15:59:49,3,5,"Williams, Brady",10130495,Right,AND_TRO,"McBrayer, Tony",10951708,Right,DAV_ELK,Undefined,1,Top,2,2,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.09369,-0.008091,-0.67441,2369.31685,169.757543,11:45:00,6.03027,1.10615,6.81189,-24.88525,14.12402,-2.33244,3.94911,0.2964,76.03937,-4.757105,-1.100393,0.449527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04295,7.86481,-1.06194,50,6.02025,1.50419,-120.87939,-0.63566,1.54197,23.73261,-20.54627,AND_TRO,DAV_ELK,AndersonUniversity,D2,Team,20260207-AndersonUniversity-2,79680260-046a-11f1-abc2-3b56c1aece58,83.8492,NA,NA,7.05433,NA,NA,NA,NA,NA,NA,3edb637f-5d3d-4522-8ff0-fed2eb94f1eb,2026-02-07,20:59:49,2026-02-07T20:59:49Z,2026-02-07T20:59:49Z,NA,v3,NA,NA,NA,"Bello, Dominick",1000090114,Right,AND_TRO,d88eb425-c934-4c8e-a296-ff5b6d41fc1d,53.6856,-121.60084,11.8663,6.03008,-0.01107,-10.27313,-1.10695,1.45731,0.77099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
